...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
LTC4S-mRNA	-0.543	0.454	-1.43	0.348	0.687	0.37	1.27	0.298	0.461	lm.nb	Glutamine Metabolism	NM_145867.1:31
MAP2K2-mRNA	-0.0705	0.0604	-0.189	0.048	0.952	0.877	1.03	0.308	0.474	loglinear	Autophagy, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_030662.3:375
WRN-mRNA	-0.383	0.328	-1.03	0.261	0.767	0.491	1.2	0.309	0.474	lm.nb	Cell Cycle, DNA Damage Repair, Reactive Oxygen Response	NM_000553.4:2944
RAD51AP1-mRNA	-0.221	0.192	-0.597	0.154	0.858	0.661	1.11	0.312	0.477	lm.nb	DNA Damage Repair	NM_001130862.1:1125
NDUFA7-mRNA	-0.258	0.225	-0.7	0.183	0.836	0.615	1.14	0.315	0.48	lm.nb	Mitochondrial Respiration	NM_005001.2:373
PIK3CD-mRNA	0.256	0.223	-0.182	0.694	1.19	0.881	1.62	0.316	0.48	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005026.3:2978
ASS1-mRNA	0.37	0.323	-0.264	1	1.29	0.833	2	0.317	0.48	lm.nb	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity	NM_000050.4:1275
PLA2G15-mRNA	0.179	0.158	-0.131	0.49	1.13	0.913	1.4	0.321	0.485	lm.nb	Lysosomal Degradation	NM_012320.3:900
PSMA7-mRNA	-0.164	0.146	-0.45	0.122	0.892	0.732	1.09	0.323	0.487	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002792.2:639
NDUFB1-mRNA	-0.209	0.186	-0.574	0.157	0.865	0.672	1.11	0.326	0.49	lm.nb	Mitochondrial Respiration	NM_004545.3:270
GPX1-mRNA	-0.241	0.216	-0.666	0.183	0.846	0.63	1.14	0.327	0.491	lm.nb	Reactive Oxygen Response	NM_000581.2:745
TNF-mRNA	0.405	0.365	-0.31	1.12	1.32	0.807	2.17	0.329	0.492	lm.nb	Cytokine & Chemokine Signaling, MAPK, NF-kB, TCR & Costimulatory Signaling, mTOR	NM_000594.2:1010
ATF7IP-mRNA	-0.105	0.0947	-0.29	0.081	0.93	0.818	1.06	0.331	0.494	loglinear	Epigenetic Regulation	NM_018179.3:2505
PHGDH-mRNA	-0.182	0.165	-0.505	0.142	0.882	0.704	1.1	0.333	0.494	lm.nb	Amino Acid Synthesis, Glutamine Metabolism	NM_006623.3:1900
KIF2C-mRNA	-0.773	0.703	-2.15	0.605	0.585	0.225	1.52	0.333	0.494	lm.nb	Antigen Presentation, Cell Cycle	NM_006845.3:1940
PIK3C2A-mRNA	-0.187	0.173	-0.525	0.152	0.879	0.695	1.11	0.34	0.5	lm.nb	Endocytosis	NM_002645.1:3505
COX5B-mRNA	-0.224	0.208	-0.631	0.184	0.856	0.646	1.14	0.343	0.5	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001862.2:240
TALDO1-mRNA	-0.148	0.138	-0.419	0.122	0.902	0.748	1.09	0.343	0.5	loglinear	Cytokine & Chemokine Signaling, Pentose Phosphate Pathway	NM_006755.1:262
PRKAB1-mRNA	0.174	0.163	-0.144	0.493	1.13	0.905	1.41	0.344	0.5	lm.nb	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway	NM_006253.4:1550
MTF1-mRNA	0.123	0.115	-0.102	0.347	1.09	0.932	1.27	0.345	0.5	loglinear	Reactive Oxygen Response	NM_005955.2:210
PNP-mRNA	0.52	0.486	-0.433	1.47	1.43	0.741	2.78	0.345	0.5	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000270.2:1150
GMPR2-mRNA	0.159	0.148	-0.132	0.45	1.12	0.912	1.37	0.345	0.5	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001002001.2:392
LY86-mRNA	0.366	0.343	-0.306	1.04	1.29	0.809	2.05	0.346	0.5	lm.nb	TLR Signaling	NM_004271.3:255
ZNF43-mRNA	0.409	0.387	-0.349	1.17	1.33	0.785	2.25	0.35	0.505	lm.nb	Transcriptional Regulation	NM_003423.2:3835
PPARG-mRNA	0.151	0.144	-0.132	0.433	1.11	0.913	1.35	0.355	0.51	lm.nb	AMPK, Transcriptional Regulation	NM_005037.5:345
RUNX1-mRNA	0.2	0.191	-0.175	0.575	1.15	0.886	1.49	0.356	0.51	lm.nb	Transcriptional Regulation	NM_001754.4:635
BCL2-mRNA	-0.286	0.275	-0.825	0.254	0.82	0.564	1.19	0.358	0.512	lm.nb	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K, Reactive Oxygen Response	NM_000657.2:5
ASH1L-mRNA	-0.188	0.182	-0.545	0.17	0.878	0.685	1.12	0.362	0.516	lm.nb	Amino Acid Synthesis, Epigenetic Regulation	NM_018489.2:5005
SLC7A11-mRNA	0.777	0.76	-0.712	2.27	1.71	0.61	4.81	0.364	0.518	lm.nb	Amino Acid Transporters, Reactive Oxygen Response	NM_014331.3:636
PGD-mRNA	0.231	0.228	-0.216	0.679	1.17	0.861	1.6	0.369	0.522	lm.nb	Pentose Phosphate Pathway	NM_002631.2:1472
NCOR1-mRNA	-0.158	0.157	-0.465	0.149	0.896	0.724	1.11	0.371	0.524	lm.nb	Epigenetic Regulation, Mitochondrial Respiration	NM_006311.3:1390
TBXAS1-mRNA	-0.4	0.398	-1.18	0.38	0.758	0.441	1.3	0.372	0.524	lm.nb	Fatty Acid Synthesis	NM_001130966.2:1030
IDNK-mRNA	-0.437	0.444	-1.31	0.433	0.739	0.404	1.35	0.381	0.535	lm.nb	Pentose Phosphate Pathway	NM_001001551.3:272
HERC1-mRNA	-0.362	0.377	-1.1	0.377	0.778	0.466	1.3	0.391	0.546	lm.nb	Antigen Presentation, Myc	NM_003922.3:300
STAT5A-mRNA	0.119	0.124	-0.125	0.363	1.09	0.917	1.29	0.392	0.546	loglinear	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003152.2:3460
PDK3-mRNA	-0.194	0.202	-0.59	0.202	0.874	0.665	1.15	0.392	0.546	lm.nb	Mitochondrial Respiration	NM_005391.1:585
GNG12-mRNA	0.358	0.374	-0.375	1.09	1.28	0.771	2.13	0.393	0.546	lm.nb	Cytokine & Chemokine Signaling, MAPK, PI3K	NM_018841.3:245
NUP205-mRNA	0.118	0.126	-0.128	0.365	1.09	0.915	1.29	0.399	0.553	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_015135.1:5075
ARPC4-mRNA	0.184	0.195	-0.199	0.566	1.14	0.871	1.48	0.4	0.553	lm.nb	Endocytosis	NM_005718.4:970
AP2S1-mRNA	0.233	0.25	-0.256	0.723	1.18	0.837	1.65	0.403	0.555	lm.nb	Antigen Presentation, Endocytosis	NM_021575.2:665
ENO1-mRNA	-0.111	0.12	-0.346	0.124	0.926	0.787	1.09	0.406	0.558	loglinear	Glycolysis, Myc	NM_001428.2:1689
YWHAZ-mRNA	0.112	0.123	-0.128	0.352	1.08	0.915	1.28	0.413	0.566	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, p53 Pathway	NM_003406.2:2345
TKT-mRNA	-0.445	0.496	-1.42	0.528	0.735	0.374	1.44	0.421	0.575	lm.nb	Pentose Phosphate Pathway	NM_001064.2:1235
A2M-mRNA	0.433	0.5	-0.546	1.41	1.35	0.685	2.66	0.435	0.593	lm.nb	Cytokine & Chemokine Signaling	NM_000014.4:1685
TIMELESS-mRNA	-0.291	0.34	-0.957	0.375	0.817	0.515	1.3	0.44	0.599	lm.nb	DNA Damage Repair	NM_003920.2:1185
MLYCD-mRNA	-0.166	0.195	-0.548	0.216	0.891	0.684	1.16	0.443	0.6	lm.nb	AMPK	NM_012213.2:1530
PGK1-mRNA	0.299	0.352	-0.391	0.988	1.23	0.763	1.98	0.443	0.6	lm.nb	Glycolysis	NM_000291.2:1030
PSMC1-mRNA	0.096	0.114	-0.128	0.32	1.07	0.915	1.25	0.448	0.605	loglinear	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002802.2:58
NDUFB2-mRNA	0.104	0.126	-0.142	0.35	1.07	0.906	1.27	0.454	0.61	loglinear	Mitochondrial Respiration	NM_004546.2:230
PRDX1-mRNA	-0.126	0.153	-0.425	0.174	0.916	0.745	1.13	0.456	0.612	lm.nb	Reactive Oxygen Response, p53 Pathway	NM_002574.2:632
PRKAA1-mRNA	-0.144	0.175	-0.487	0.2	0.905	0.713	1.15	0.458	0.613	lm.nb	AMPK, Autophagy, PI3K, mTOR, p53 Pathway	NM_006251.5:366
AKT3-mRNA	-0.133	0.164	-0.455	0.188	0.912	0.729	1.14	0.462	0.616	loglinear	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway	NM_005465.4:287
GAPDH-mRNA	-0.102	0.129	-0.354	0.15	0.932	0.783	1.11	0.473	0.63	loglinear	Glycolysis	NM_001256799.1:386
COX6A1-mRNA	-0.152	0.199	-0.542	0.239	0.9	0.687	1.18	0.488	0.648	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_004373.2:260
SREBF1-mRNA	0.275	0.365	-0.44	0.991	1.21	0.737	1.99	0.493	0.652	lm.nb	AMPK, Transcriptional Regulation	NM_001005291.1:1392
APOC2-mRNA	0.121	0.161	-0.195	0.437	1.09	0.874	1.35	0.495	0.652	loglinear	Vitamin & Cofactor Metabolism	NM_000483.3:556
CD180-mRNA	0.133	0.178	-0.215	0.482	1.1	0.861	1.4	0.495	0.652	lm.nb	TLR Signaling	NM_005582.2:1036
CCNB2-mRNA	-0.137	0.188	-0.505	0.231	0.909	0.705	1.17	0.505	0.664	lm.nb	Cell Cycle	NM_004701.2:980
CHMP6-mRNA	0.1	0.143	-0.181	0.381	1.07	0.882	1.3	0.524	0.684	lm.nb	Autophagy, Endocytosis	NM_024591.4:346
VHL-mRNA	-0.107	0.153	-0.407	0.193	0.929	0.754	1.14	0.524	0.684	lm.nb	Antigen Presentation, Hypoxia	NM_000551.2:1280
SLC7A5-mRNA	-0.261	0.381	-1.01	0.485	0.835	0.497	1.4	0.531	0.692	lm.nb	Amino Acid Transporters, mTOR	NM_003486.5:785
FCAR-mRNA	-0.352	0.522	-1.37	0.671	0.784	0.386	1.59	0.537	0.698	lm.nb	NA	NM_002000.2:1415
SOD2-mRNA	0.131	0.199	-0.259	0.521	1.1	0.836	1.44	0.546	0.708	lm.nb	Cytokine & Chemokine Signaling, Mitochondrial Respiration	NM_000636.2:201
GBA-mRNA	0.181	0.288	-0.384	0.746	1.13	0.767	1.68	0.564	0.729	lm.nb	Lysosomal Degradation	NM_001005742.2:1695
FAHD1-mRNA	-0.104	0.168	-0.434	0.225	0.93	0.74	1.17	0.568	0.731	lm.nb	Amino Acid Synthesis, Mitochondrial Respiration	NM_031208.3:542
HRAS-mRNA	0.117	0.189	-0.253	0.487	1.08	0.839	1.4	0.569	0.731	lm.nb	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005343.2:396
LDHA-mRNA	0.195	0.316	-0.424	0.815	1.15	0.745	1.76	0.57	0.731	lm.nb	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration, Myc	NM_001165414.1:1690
ITCH-mRNA	-0.0784	0.129	-0.331	0.174	0.947	0.795	1.13	0.576	0.736	loglinear	Antigen Presentation, Endocytosis	NM_001257138.1:438
PFKL-mRNA	0.089	0.147	-0.199	0.377	1.06	0.871	1.3	0.577	0.737	loglinear	AMPK, Glycolysis, Pentose Phosphate Pathway	NM_001002021.1:2410
NEU1-mRNA	-0.106	0.176	-0.45	0.239	0.929	0.732	1.18	0.581	0.74	lm.nb	Lysosomal Degradation	NM_000434.3:1508
SERINC5-mRNA	-0.182	0.309	-0.787	0.422	0.881	0.579	1.34	0.586	0.743	lm.nb	Glutamine Metabolism	NM_001174071.2:526
SRR-mRNA	0.0802	0.136	-0.186	0.347	1.06	0.879	1.27	0.587	0.743	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_021947.1:560
ERN1-mRNA	0.12	0.21	-0.292	0.532	1.09	0.817	1.45	0.599	0.757	lm.nb	Autophagy	NM_001433.2:435
CPS1-mRNA	0.104	0.185	-0.259	0.467	1.07	0.835	1.38	0.605	0.763	loglinear	Amino Acid Synthesis, Arginine Metabolism	NM_001875.3:5560
HSF1-mRNA	0.0712	0.129	-0.182	0.324	1.05	0.882	1.25	0.611	0.768	loglinear	Transcriptional Regulation	XM_011517006.1:63
PKM-mRNA	0.112	0.205	-0.289	0.514	1.08	0.819	1.43	0.612	0.768	lm.nb	Glycolysis, Nucleotide Synthesis	NM_182471.1:2105
IDH3G-mRNA	0.079	0.147	-0.208	0.366	1.06	0.866	1.29	0.619	0.774	loglinear	Mitochondrial Respiration	NM_004135.2:390
CHMP2A-mRNA	0.103	0.197	-0.283	0.489	1.07	0.822	1.4	0.628	0.783	lm.nb	Autophagy, Endocytosis	NM_014453.3:241
APOE-mRNA	0.346	0.666	-0.959	1.65	1.27	0.514	3.14	0.631	0.783	lm.nb	Reactive Oxygen Response, Vitamin & Cofactor Metabolism	NM_000041.2:96
PYCR3-mRNA	-1.16	2.18	-5.43	3.11	0.447	0.0231	8.64	0.631	0.783	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_023078.2:1145
SMAD3-mRNA	-0.141	0.276	-0.683	0.4	0.907	0.623	1.32	0.636	0.787	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Endocytosis	NM_005902.3:4220
OGDH-mRNA	0.029	0.059	-0.0866	0.145	1.02	0.942	1.11	0.649	0.801	loglinear	Amino Acid Synthesis, Mitochondrial Respiration, TryptophanKynurenine Metabolism	NM_001003941.2:196
LAMTOR5-mRNA	-0.0991	0.202	-0.495	0.297	0.934	0.709	1.23	0.65	0.801	lm.nb	Autophagy, mTOR, p53 Pathway	NM_006402.2:504
CTSA-mRNA	-0.0435	0.0906	-0.221	0.134	0.97	0.858	1.1	0.656	0.807	loglinear	Antigen Presentation, Lysosomal Degradation	NM_001127695.1:1540
FAH-mRNA	-0.0949	0.2	-0.486	0.296	0.936	0.714	1.23	0.659	0.808	lm.nb	Amino Acid Synthesis	NM_000137.1:920
LAMTOR2-mRNA	0.113	0.242	-0.361	0.586	1.08	0.779	1.5	0.665	0.813	lm.nb	Autophagy, mTOR, p53 Pathway	NM_001145264.1:272
LEPR-mRNA	0.0954	0.211	-0.317	0.508	1.07	0.803	1.42	0.674	0.822	loglinear	AMPK, Cytokine & Chemokine Signaling	NM_001003679.1:2000
NAGLU-mRNA	0.108	0.243	-0.368	0.585	1.08	0.775	1.5	0.679	0.827	lm.nb	Lysosomal Degradation	NM_000263.3:696
AKT1S1-mRNA	-0.0579	0.132	-0.316	0.2	0.961	0.803	1.15	0.683	0.83	loglinear	AMPK, Autophagy, mTOR	NM_032375.3:1850
MYBL1-mRNA	-0.763	1.74	-4.17	2.64	0.589	0.0557	6.23	0.69	0.836	Wald	Transcriptional Regulation	NM_001080416.3:1030
MAPK1-mRNA	-0.0359	0.0845	-0.202	0.13	0.975	0.87	1.09	0.693	0.837	loglinear	Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR	NM_138957.2:430
NAT8L-mRNA	-1.49	3.5	-8.34	5.37	0.357	0.00309	41.2	0.699	0.842	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_178557.3:3021
SERINC3-mRNA	-0.0537	0.13	-0.308	0.201	0.963	0.808	1.15	0.7	0.842	loglinear	Glutamine Metabolism	NM_006811.2:185
AK3-mRNA	0.0597	0.148	-0.23	0.35	1.04	0.853	1.27	0.707	0.848	loglinear	Nucleotide Synthesis	NM_016282.2:450
PSMD13-mRNA	0.0736	0.186	-0.29	0.438	1.05	0.818	1.35	0.712	0.852	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_175932.2:668
ALOX15-mRNA	0.555	1.39	-2.17	3.28	1.47	0.222	9.71	0.716	0.855	Wald	Cytokine & Chemokine Signaling	NM_001140.3:1910
KMT2D-mRNA	0.073	0.189	-0.297	0.443	1.05	0.814	1.36	0.719	0.856	lm.nb	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_003482.3:6070
RANBP2-mRNA	-0.0445	0.118	-0.275	0.186	0.97	0.826	1.14	0.724	0.86	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_006267.4:5384
DGLUCY-mRNA	0.0488	0.132	-0.21	0.308	1.03	0.864	1.24	0.73	0.865	loglinear	Glutamine Metabolism	NM_001102369.2:442
COX14-mRNA	-0.0964	0.262	-0.609	0.416	0.935	0.656	1.33	0.731	0.865	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001257133.1:672
CBL-mRNA	0.0705	0.204	-0.33	0.471	1.05	0.796	1.39	0.747	0.881	lm.nb	Cytokine & Chemokine Signaling, Endocytosis	NM_005188.2:7485
ATF7-mRNA	0.0479	0.142	-0.23	0.326	1.03	0.853	1.25	0.753	0.884	lm.nb	Transcriptional Regulation	NM_001130060.1:203
NEDD8-mRNA	0.044	0.13	-0.212	0.3	1.03	0.864	1.23	0.753	0.884	lm.nb	Endocytosis	NM_006156.2:330
NCOA2-mRNA	0.0521	0.158	-0.257	0.361	1.04	0.837	1.28	0.758	0.888	lm.nb	Epigenetic Regulation, Mitochondrial Respiration	NM_006540.2:1045
ACAA2-mRNA	-0.0792	0.246	-0.561	0.402	0.947	0.678	1.32	0.763	0.892	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation	NM_006111.2:450
GART-mRNA	-0.0387	0.122	-0.278	0.2	0.974	0.825	1.15	0.767	0.892	loglinear	Nucleotide Synthesis	NM_000819.3:370
EME1-mRNA	-1.23	3.8	-8.67	6.21	0.426	0.00246	74	0.767	0.892	Wald	DNA Damage Repair	XM_011524392.1:416
TRAF6-mRNA	-0.0521	0.174	-0.393	0.289	0.965	0.761	1.22	0.78	0.905	loglinear	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, NF-kB, TLR Signaling	NM_145803.2:745
PRPS1-mRNA	-0.0803	0.283	-0.636	0.475	0.946	0.644	1.39	0.791	0.913	lm.nb	Nucleotide Synthesis, Pentose Phosphate Pathway	NM_002764.3:1081
TK1-mRNA	-0.887	3.07	-6.91	5.14	0.541	0.00832	35.1	0.792	0.913	Wald	Cell Cycle, Nucleotide Salvage, Nucleotide Synthesis	NM_003258.1:1215
MGST3-mRNA	-0.0776	0.276	-0.618	0.463	0.948	0.652	1.38	0.792	0.913	lm.nb	KEAP1NRF2 Pathway	NM_004528.2:195
RBKS-mRNA	-0.151	0.544	-1.22	0.914	0.9	0.43	1.88	0.794	0.913	lm.nb	Pentose Phosphate Pathway	NM_022128.2:914
ABL1-mRNA	-0.0437	0.159	-0.356	0.268	0.97	0.782	1.2	0.797	0.914	loglinear	Cell Cycle, DNA Damage Repair, IDH12 Activity, Reactive Oxygen Response	NM_005157.3:3200
GABARAP-mRNA	-0.0388	0.15	-0.333	0.255	0.973	0.794	1.19	0.809	0.926	lm.nb	Autophagy	NM_007278.1:233
SLC3A2-mRNA	0.0816	0.322	-0.549	0.713	1.06	0.683	1.64	0.812	0.928	lm.nb	Amino Acid Transporters, mTOR	NM_001012662.2:1505
ACAP2-mRNA	0.0404	0.161	-0.275	0.356	1.03	0.826	1.28	0.815	0.928	lm.nb	Endocytosis	NM_012287.5:852
PSMB1-mRNA	-0.0189	0.0851	-0.186	0.148	0.987	0.879	1.11	0.835	0.949	loglinear	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002793.2:0
PRKAG1-mRNA	-0.0381	0.175	-0.382	0.306	0.974	0.767	1.24	0.839	0.949	lm.nb	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway	NM_002733.3:825
ITGB2-mRNA	0.0611	0.282	-0.491	0.614	1.04	0.711	1.53	0.839	0.949	lm.nb	Cytokine & Chemokine Signaling, TLR Signaling	NM_000211.2:520
TXN-mRNA	-0.0311	0.145	-0.314	0.252	0.979	0.804	1.19	0.84	0.949	loglinear	p53 Pathway	NM_003329.2:55
SLC16A6-mRNA	0.0952	0.488	-0.86	1.05	1.07	0.551	2.07	0.855	0.963	lm.nb	Amino Acid Transporters	NM_001174166.1:855
UQCR11-mRNA	-0.497	2.67	-5.74	4.74	0.709	0.0187	26.8	0.864	0.972	Wald	Mitochondrial Respiration	NM_006830.2:360
NT5E-mRNA	2.01	11.8	-21.2	25.2	4.04	4.12e-7	39600000	0.876	0.982	Wald	Nucleotide Synthesis, Vitamin & Cofactor Metabolism	NM_002526.2:1214
NRAS-mRNA	-0.0266	0.162	-0.344	0.291	0.982	0.788	1.22	0.878	0.982	lm.nb	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002524.3:877
HSD11B1-mRNA	0.361	2.44	-4.42	5.14	1.28	0.0468	35.2	0.892	0.995	Wald	NA	NM_181755.1:155
USP8-mRNA	-0.0149	0.104	-0.219	0.189	0.99	0.859	1.14	0.893	0.995	loglinear	Endocytosis	NM_001128610.1:1160
DTL-mRNA	-0.578	4.28	-8.96	7.8	0.67	0.00201	223	0.901	0.999	Wald	DNA Damage Repair	NM_016448.2:715
KANSL1-mRNA	0.0149	0.114	-0.209	0.239	1.01	0.865	1.18	0.902	0.999	loglinear	Epigenetic Regulation	NM_001193465.1:1838
CYP1A1-mRNA	0.114	0.967	-1.78	2.01	1.08	0.291	4.03	0.913	0.999	Wald	TryptophanKynurenine Metabolism	NM_000499.3:695
S100A12-mRNA	-1.11	11.8	-24.3	22.1	0.464	4.77e-8	4520000	0.931	0.999	Wald	Cytokine & Chemokine Signaling, TLR Signaling	NM_005621.1:260
ITGAM-mRNA	0.0288	0.319	-0.596	0.654	1.02	0.661	1.57	0.932	0.999	lm.nb	Cytokine & Chemokine Signaling, TLR Signaling	NM_000632.3:515
PEMT-mRNA	-1.01	11.8	-24.2	22.2	0.496	5.14e-8	4780000	0.937	0.999	Wald	Mitochondrial Respiration	NM_148173.1:385
TELO2-mRNA	-0.558	6.87	-14	12.9	0.679	5.99e-5	7710	0.94	0.999	Wald	mTOR	NM_016111.3:294
NDC1-mRNA	-0.918	11.8	-24.1	22.3	0.529	5.47e-8	5120000	0.943	0.999	Wald	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_001168551.1:1845
L2HGDH-mRNA	-0.706	9.23	-18.8	17.4	0.613	2.19e-6	171000	0.944	0.999	Wald	IDH12 Activity, Mitochondrial Respiration	NM_024884.2:1296
KRAS-mRNA	-0.00677	0.0905	-0.184	0.171	0.995	0.88	1.13	0.944	0.999	loglinear	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_033360.2:267
GLS-mRNA	0.00853	0.123	-0.233	0.25	1.01	0.851	1.19	0.948	0.999	loglinear	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, p53 Pathway	NM_014905.3:985
UMPS-mRNA	-0.823	11.8	-24	22.4	0.565	5.85e-8	5460000	0.949	0.999	Wald	Nucleotide Synthesis	NM_000373.2:2445
MAP3K12-mRNA	-0.788	11.8	-24	22.4	0.579	5.98e-8	5610000	0.951	0.999	Wald	MAPK	NM_006301.2:800
ACACB-mRNA	-0.718	11.8	-23.9	22.5	0.608	6.25e-8	5920000	0.955	0.999	Wald	AMPK, Fatty Acid Synthesis, Vitamin & Cofactor Metabolism	NM_001093.3:3365
SLC2A1-mRNA	0.215	3.66	-6.95	7.38	1.16	0.00809	167	0.957	0.999	Wald	Glucose Transport, Vitamin & Cofactor Metabolism	NM_006516.2:2500
APOM-mRNA	-0.468	8.01	-16.2	15.2	0.723	1.35e-5	38700	0.957	0.999	Wald	Vitamin & Cofactor Metabolism	NM_019101.2:496
DGUOK-mRNA	-0.0099	0.174	-0.351	0.331	0.993	0.784	1.26	0.957	0.999	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_080916.2:902
KLRD1-mRNA	0.656	11.8	-22.6	23.9	1.58	1.61e-7	15400000	0.959	0.999	Wald	NA	NM_007334.2:1252
PUDP-mRNA	-0.186	3.64	-7.32	6.95	0.879	0.00624	124	0.962	0.999	Wald	Nucleotide Salvage	NM_001178135.1:425
NFAT5-mRNA	0.585	11.8	-22.6	23.8	1.5	1.56e-7	14500000	0.964	0.999	Wald	Transcriptional Regulation	NM_173214.1:3290
KEAP1-mRNA	0.00384	0.08	-0.153	0.161	1	0.899	1.12	0.964	0.999	loglinear	Antigen Presentation, IDH12 Activity, KEAP1NRF2 Pathway	NM_012289.3:561
ZNF93-mRNA	-0.361	7.52	-15.1	14.4	0.778	2.86e-5	21200	0.965	0.999	Wald	Transcriptional Regulation	NM_031218.3:2314
TPSAB1/B2-mRNA	0.0157	0.364	-0.698	0.73	1.01	0.616	1.66	0.968	0.999	lm.nb	NA	NM_003294.3:579
SERINC1-mRNA	-0.00804	0.19	-0.381	0.365	0.994	0.768	1.29	0.968	0.999	lm.nb	Glutamine Metabolism	NM_020755.2:95
MSRB2-mRNA	0.00436	0.117	-0.225	0.233	1	0.856	1.18	0.972	0.999	loglinear	Reactive Oxygen Response	NM_012228.3:385
NRF1-mRNA	-0.431	11.8	-23.6	22.8	0.742	7.63e-8	7210000	0.973	0.999	Wald	Mitochondrial Respiration	NM_001040110.1:2910
NQO1-mRNA	-0.0112	0.316	-0.631	0.608	0.992	0.646	1.52	0.973	0.999	lm.nb	KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_000903.2:790
ASNS-mRNA	0.227	6.46	-12.4	12.9	1.17	1.82e-4	7540	0.974	0.999	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_183356.2:1644
BRCA2-mRNA	-0.195	5.57	-11.1	10.7	0.874	4.52e-4	1690	0.974	0.999	Wald	Cell Cycle, DNA Damage Repair	NM_000059.3:115
CLOCK-mRNA	0.333	11.8	-22.9	23.5	1.26	1.3e-7	12200000	0.979	0.999	Wald	Epigenetic Regulation, Transcriptional Regulation	NM_004898.2:2350
HPRT1-mRNA	-0.00783	0.292	-0.58	0.565	0.995	0.669	1.48	0.98	0.999	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000194.1:240
SLC2A5-mRNA	0.0991	4.3	-8.32	8.52	1.07	0.00313	367	0.983	0.999	Wald	Glucose Transport	NM_003039.2:711
TIGAR-mRNA	-0.107	4.65	-9.21	9	0.929	0.00169	511	0.983	0.999	Wald	p53 Pathway	NM_020375.2:5245
RIMKLB-mRNA	-0.259	11.8	-23.5	22.9	0.836	8.68e-8	8040000	0.984	0.999	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_020734.2:1840
AMPD2-mRNA	-0.00355	0.17	-0.337	0.33	0.998	0.792	1.26	0.984	0.999	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_004037.6:3095
COL6A3-mRNA	0.15	7.06	-13.7	14	1.11	7.59e-5	16200	0.984	0.999	Wald	PI3K	NM_004369.3:2782
LTB-mRNA	-0.249	11.8	-23.5	23	0.842	8.64e-8	8200000	0.985	0.999	Wald	Cytokine & Chemokine Signaling, NF-kB	NM_002341.1:330
