...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
CCNA2-mRNA	-0.456	0.654	-1.74	0.826	0.729	0.3	1.77	0.524	0.838	lm.nb	AMPK, Cell Cycle, DNA Damage Repair, Myc	NM_001237.2:1210
PDK1-mRNA	-0.195	0.282	-0.748	0.358	0.874	0.595	1.28	0.528	0.84	lm.nb	Mitochondrial Respiration	NM_002610.3:1170
LAT-mRNA	-0.141	0.206	-0.545	0.262	0.907	0.686	1.2	0.53	0.84	lm.nb	NF-kB, TCR & Costimulatory Signaling	NM_001014987.1:1290
AP2S1-mRNA	-0.0966	0.141	-0.373	0.18	0.935	0.772	1.13	0.531	0.84	loglinear	Antigen Presentation, Endocytosis	NM_021575.2:665
MYC-mRNA	-0.0959	0.14	-0.371	0.179	0.936	0.773	1.13	0.532	0.84	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, MAPK, Myc, PI3K, Transcriptional Regulation	NM_002467.3:1610
CTSD-mRNA	-0.123	0.18	-0.476	0.231	0.919	0.719	1.17	0.534	0.84	lm.nb	Antigen Presentation, Autophagy, Lysosomal Degradation	NM_001909.3:1495
SOD1-mRNA	-0.0868	0.129	-0.34	0.166	0.942	0.79	1.12	0.538	0.844	loglinear	Cytokine & Chemokine Signaling, Reactive Oxygen Response	NM_000454.4:245
ACAP2-mRNA	-0.077	0.115	-0.303	0.149	0.948	0.811	1.11	0.541	0.844	loglinear	Endocytosis	NM_012287.5:852
CD63-mRNA	0.153	0.23	-0.297	0.603	1.11	0.814	1.52	0.542	0.844	lm.nb	Lysosomal Degradation	NM_001780.4:350
GNG12-mRNA	0.0981	0.148	-0.191	0.388	1.07	0.876	1.31	0.543	0.844	lm.nb	Cytokine & Chemokine Signaling, MAPK, PI3K	NM_018841.3:245
ATF7IP-mRNA	0.111	0.169	-0.22	0.441	1.08	0.859	1.36	0.547	0.847	loglinear	Epigenetic Regulation	NM_018179.3:2505
HLA-DRB1-mRNA	0.264	0.403	-0.526	1.05	1.2	0.695	2.08	0.548	0.847	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling	NM_002124.3:1016
HSPE1-mRNA	-0.157	0.24	-0.627	0.314	0.897	0.648	1.24	0.55	0.847	lm.nb	Myc	NM_002157.2:607
SOS2-mRNA	-0.0917	0.143	-0.372	0.188	0.938	0.773	1.14	0.556	0.851	loglinear	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006939.2:3845
PDK3-mRNA	0.0659	0.103	-0.135	0.267	1.05	0.91	1.2	0.556	0.851	loglinear	Mitochondrial Respiration	NM_005391.1:585
VEGFA-mRNA	0.462	0.723	-0.955	1.88	1.38	0.516	3.68	0.557	0.851	lm.nb	Cytokine & Chemokine Signaling, Hypoxia, MAPK, PI3K	NM_001025366.1:1325
ARID1A-mRNA	0.0911	0.147	-0.197	0.379	1.07	0.873	1.3	0.569	0.866	lm.nb	Epigenetic Regulation	NM_006015.4:5495
KDM3B-mRNA	-0.0762	0.124	-0.319	0.166	0.949	0.802	1.12	0.571	0.867	loglinear	Epigenetic Regulation	NM_016604.3:4178
SRR-mRNA	0.125	0.208	-0.283	0.533	1.09	0.822	1.45	0.581	0.879	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_021947.1:560
TYMS-mRNA	-0.565	0.951	-2.43	1.3	0.676	0.186	2.46	0.585	0.881	lm.nb	Cell Cycle, Nucleotide Synthesis	NM_001071.2:1110
YWHAZ-mRNA	0.0697	0.119	-0.163	0.302	1.05	0.893	1.23	0.588	0.881	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, p53 Pathway	NM_003406.2:2345
NDUFB2-mRNA	-0.0854	0.146	-0.371	0.2	0.943	0.773	1.15	0.589	0.881	lm.nb	Mitochondrial Respiration	NM_004546.2:230
ME2-mRNA	0.2	0.342	-0.47	0.87	1.15	0.722	1.83	0.59	0.881	lm.nb	Mitochondrial Respiration	NM_002396.3:610
ABL1-mRNA	-0.0786	0.135	-0.342	0.185	0.947	0.789	1.14	0.591	0.881	loglinear	Cell Cycle, DNA Damage Repair, IDH12 Activity, Reactive Oxygen Response	NM_005157.3:3200
GTSE1-mRNA	-0.559	0.94	-2.4	1.28	0.679	0.189	2.43	0.594	0.883	Wald	Cell Cycle	NM_016426.5:305
AKT2-mRNA	-0.0318	0.0591	-0.148	0.084	0.978	0.903	1.06	0.619	0.918	loglinear	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway	NM_001626.4:699
PCLAF-mRNA	-0.761	1.4	-3.5	1.97	0.59	0.0886	3.93	0.624	0.922	Wald	DNA Damage Repair	NM_014736.5:1025
COX7C-mRNA	-0.105	0.199	-0.496	0.285	0.93	0.709	1.22	0.625	0.922	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001867.2:57
COL6A3-mRNA	-1.46	2.85	-7.04	4.12	0.364	0.00761	17.4	0.636	0.934	loglinear	PI3K	NM_004369.3:2782
COX6A1-mRNA	-0.114	0.224	-0.553	0.326	0.924	0.682	1.25	0.639	0.934	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_004373.2:260
SLC2A1-mRNA	0.146	0.29	-0.421	0.714	1.11	0.747	1.64	0.64	0.934	lm.nb	Glucose Transport, Vitamin & Cofactor Metabolism	NM_006516.2:2500
FBP1-mRNA	-0.673	1.3	-3.23	1.88	0.627	0.107	3.68	0.641	0.934	Wald	AMPK, Glycolysis, Pentose Phosphate Pathway	NM_000507.3:590
PSMD13-mRNA	0.0712	0.144	-0.21	0.353	1.05	0.865	1.28	0.646	0.938	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_175932.2:668
TPX2-mRNA	-0.417	0.848	-2.08	1.24	0.749	0.237	2.37	0.648	0.939	lm.nb	Cell Cycle	NM_012112.4:2975
PIK3CB-mRNA	0.0703	0.144	-0.212	0.353	1.05	0.863	1.28	0.651	0.941	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006219.1:2945
GLS-mRNA	-0.131	0.273	-0.666	0.404	0.913	0.63	1.32	0.656	0.945	lm.nb	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, p53 Pathway	NM_014905.3:985
PKM-mRNA	-0.0914	0.192	-0.467	0.284	0.939	0.723	1.22	0.658	0.945	lm.nb	Glycolysis, Nucleotide Synthesis	NM_182471.1:2105
REST-mRNA	-0.0623	0.131	-0.319	0.194	0.958	0.802	1.14	0.659	0.945	loglinear	Epigenetic Regulation, Transcriptional Regulation	NM_001193508.1:1140
ATOX1-mRNA	0.0808	0.174	-0.26	0.421	1.06	0.835	1.34	0.666	0.95	lm.nb	Reactive Oxygen Response	NM_004045.3:143
RUNX1-mRNA	0.0831	0.179	-0.268	0.434	1.06	0.83	1.35	0.667	0.95	lm.nb	Transcriptional Regulation	NM_001754.4:635
BRAF-mRNA	0.103	0.222	-0.333	0.538	1.07	0.794	1.45	0.669	0.95	lm.nb	Cytokine & Chemokine Signaling, MAPK, mTOR	NM_004333.3:565
FCAR-mRNA	-0.0545	0.119	-0.288	0.179	0.963	0.819	1.13	0.672	0.951	lm.nb	NA	NM_002000.2:1415
HSF1-mRNA	-0.0873	0.192	-0.464	0.289	0.941	0.725	1.22	0.673	0.951	lm.nb	Transcriptional Regulation	XM_011517006.1:63
CD163-mRNA	-0.11	0.244	-0.588	0.367	0.926	0.665	1.29	0.675	0.951	lm.nb	NA	NM_004244.4:1630
AKT1-mRNA	-0.118	0.264	-0.634	0.399	0.922	0.644	1.32	0.679	0.954	lm.nb	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, Reactive Oxygen Response, TCR & Costimulatory Signaling, Vitamin & Cofactor Metabolism, mTOR, p53 Pathway	NM_001014431.1:758
TLR4-mRNA	0.0716	0.165	-0.251	0.394	1.05	0.84	1.31	0.686	0.957	lm.nb	Antigen Presentation, NF-kB, PI3K, TLR Signaling	NM_138554.2:2570
PPARGC1A-mRNA	-0.42	0.942	-2.27	1.43	0.748	0.208	2.69	0.686	0.957	Wald	AMPK, Mitochondrial Respiration	NM_013261.3:1505
ADA-mRNA	-0.223	0.515	-1.23	0.786	0.856	0.425	1.72	0.687	0.957	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000022.2:1300
MKI67-mRNA	-0.586	1.33	-3.19	2.02	0.666	0.11	4.05	0.689	0.958	Wald	Cell Cycle	NM_002417.2:4020
PCK2-mRNA	0.133	0.31	-0.475	0.741	1.1	0.719	1.67	0.691	0.958	lm.nb	AMPK, Glycolysis, PI3K	NM_004563.2:795
LEPR-mRNA	0.0918	0.217	-0.333	0.517	1.07	0.794	1.43	0.694	0.958	lm.nb	AMPK, Cytokine & Chemokine Signaling	NM_001003679.1:2000
CENPA-mRNA	-0.329	0.78	-1.86	1.2	0.796	0.276	2.3	0.695	0.958	lm.nb	Cell Cycle	NM_001042426.1:979
CD180-mRNA	-0.182	0.453	-1.07	0.707	0.882	0.476	1.63	0.709	0.97	lm.nb	TLR Signaling	NM_005582.2:1036
APOC2-mRNA	-1.11	2.78	-6.55	4.33	0.462	0.0107	20.1	0.709	0.97	loglinear	Vitamin & Cofactor Metabolism	NM_000483.3:556
LDHA-mRNA	-0.116	0.289	-0.683	0.452	0.923	0.623	1.37	0.71	0.97	lm.nb	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration, Myc	NM_001165414.1:1690
GCLC-mRNA	-0.0959	0.243	-0.572	0.38	0.936	0.673	1.3	0.713	0.97	lm.nb	Amino Acid Synthesis, Reactive Oxygen Response	NM_001498.2:520
TPSAB1/B2-mRNA	0.0668	0.173	-0.272	0.406	1.05	0.828	1.33	0.719	0.97	lm.nb	NA	NM_003294.3:579
FABP5-mRNA	0.131	0.346	-0.547	0.808	1.09	0.685	1.75	0.724	0.97	lm.nb	Fatty Acid Synthesis	NM_001444.1:100
OGDH-mRNA	-0.0925	0.246	-0.574	0.389	0.938	0.672	1.31	0.726	0.97	lm.nb	Amino Acid Synthesis, Mitochondrial Respiration, TryptophanKynurenine Metabolism	NM_001003941.2:196
KIF2C-mRNA	-0.391	1.04	-2.44	1.65	0.763	0.185	3.15	0.727	0.97	lm.nb	Antigen Presentation, Cell Cycle	NM_006845.3:1940
PIK3CA-mRNA	-0.0377	0.101	-0.235	0.16	0.974	0.849	1.12	0.727	0.97	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006218.2:2445
BUB1-mRNA	-0.249	0.666	-1.55	1.06	0.842	0.34	2.08	0.728	0.97	lm.nb	Cell Cycle	NM_004336.3:1978
ASH1L-mRNA	-0.0622	0.167	-0.389	0.265	0.958	0.764	1.2	0.728	0.97	loglinear	Amino Acid Synthesis, Epigenetic Regulation	NM_018489.2:5005
COX8A-mRNA	0.0525	0.141	-0.223	0.328	1.04	0.857	1.26	0.728	0.97	loglinear	Mitochondrial Respiration, p53 Pathway	NM_004074.2:0
ITCH-mRNA	-0.0315	0.0845	-0.197	0.134	0.978	0.872	1.1	0.728	0.97	loglinear	Antigen Presentation, Endocytosis	NM_001257138.1:438
COX14-mRNA	-0.0959	0.26	-0.605	0.413	0.936	0.658	1.33	0.731	0.971	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001257133.1:672
PGK1-mRNA	0.0676	0.185	-0.296	0.431	1.05	0.815	1.35	0.734	0.971	lm.nb	Glycolysis	NM_000291.2:1030
LAMTOR5-mRNA	-0.0864	0.238	-0.553	0.38	0.942	0.682	1.3	0.735	0.971	lm.nb	Autophagy, mTOR, p53 Pathway	NM_006402.2:504
CHMP2A-mRNA	0.0333	0.0924	-0.148	0.214	1.02	0.903	1.16	0.737	0.971	loglinear	Autophagy, Endocytosis	NM_014453.3:241
CLSPN-mRNA	-0.982	2.69	-6.25	4.29	0.506	0.0131	19.5	0.739	0.972	Wald	Cell Cycle, DNA Damage Repair	NM_022111.2:442
MSRB2-mRNA	-0.0474	0.136	-0.314	0.219	0.968	0.804	1.16	0.745	0.977	loglinear	Reactive Oxygen Response	NM_012228.3:385
APOE-mRNA	0.451	1.3	-2.1	3	1.37	0.234	7.98	0.746	0.977	lm.nb	Reactive Oxygen Response, Vitamin & Cofactor Metabolism	NM_000041.2:96
HJURP-mRNA	-0.562	1.6	-3.7	2.58	0.677	0.0769	5.96	0.749	0.977	Wald	Cell Cycle	NM_018410.3:1325
RRM1-mRNA	-0.0858	0.259	-0.593	0.421	0.942	0.663	1.34	0.757	0.984	lm.nb	Nucleotide Synthesis	NM_001033.3:2444
CDCA8-mRNA	-0.699	2.07	-4.76	3.36	0.616	0.037	10.3	0.758	0.984	Wald	Cell Cycle	NM_018101.2:1665
CTSZ-mRNA	0.0821	0.256	-0.42	0.584	1.06	0.748	1.5	0.765	0.99	lm.nb	Lysosomal Degradation	NM_001336.3:827
SQSTM1-mRNA	0.0365	0.116	-0.191	0.264	1.03	0.876	1.2	0.768	0.993	loglinear	Cytokine & Chemokine Signaling	NM_003900.3:1445
ERCC6-mRNA	0.0418	0.14	-0.233	0.317	1.03	0.851	1.25	0.781	0.997	loglinear	DNA Damage Repair, Reactive Oxygen Response	NM_001277058.1:200
TXN-mRNA	0.0941	0.336	-0.565	0.754	1.07	0.676	1.69	0.794	0.997	lm.nb	p53 Pathway	NM_003329.2:55
VPS28-mRNA	-0.0507	0.183	-0.409	0.308	0.965	0.753	1.24	0.795	0.997	lm.nb	Endocytosis	NM_016208.3:416
RRM2-mRNA	-0.239	0.864	-1.93	1.45	0.847	0.262	2.74	0.796	0.997	lm.nb	Cell Cycle, Nucleotide Synthesis	NM_001034.1:1615
FOXM1-mRNA	-0.643	2.28	-5.11	3.83	0.64	0.0289	14.2	0.796	0.997	Wald	Cell Cycle, Transcriptional Regulation	NM_202002.1:1000
MGST3-mRNA	-0.0851	0.309	-0.691	0.521	0.943	0.62	1.43	0.797	0.997	lm.nb	KEAP1NRF2 Pathway	NM_004528.2:195
CD244-mRNA	-1.24	4.43	-9.92	7.43	0.422	0.00103	173	0.797	0.997	Wald	NA	NM_001166663.1:22
FANCI-mRNA	-0.138	0.511	-1.14	0.864	0.909	0.454	1.82	0.8	0.997	lm.nb	DNA Damage Repair	NM_001113378.1:541
SDHC-mRNA	-0.0588	0.221	-0.493	0.375	0.96	0.711	1.3	0.804	0.997	lm.nb	IDH12 Activity, Mitochondrial Respiration	NM_001035511.1:615
LAMTOR2-mRNA	0.0368	0.146	-0.249	0.323	1.03	0.841	1.25	0.813	0.997	loglinear	Autophagy, mTOR, p53 Pathway	NM_001145264.1:272
NDUFB1-mRNA	-0.0549	0.22	-0.485	0.376	0.963	0.714	1.3	0.815	0.997	lm.nb	Mitochondrial Respiration	NM_004545.3:270
EZH2-mRNA	-0.124	0.502	-1.11	0.859	0.917	0.464	1.81	0.817	0.997	lm.nb	Amino Acid Synthesis, Epigenetic Regulation	NM_001203247.1:1121
TBX21-mRNA	0.399	1.6	-2.73	3.53	1.32	0.15	11.6	0.819	0.997	Wald	Transcriptional Regulation	NM_013351.1:890
NQO1-mRNA	-0.102	0.422	-0.928	0.725	0.932	0.525	1.65	0.821	0.997	lm.nb	KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_000903.2:790
HSD11B1-mRNA	0.579	2.4	-4.13	5.29	1.49	0.0572	39	0.825	0.997	Wald	NA	NM_181755.1:155
LY96-mRNA	-0.0651	0.288	-0.63	0.5	0.956	0.646	1.41	0.832	0.997	lm.nb	Antigen Presentation, NF-kB, TLR Signaling	NM_015364.2:360
SERINC1-mRNA	-0.0429	0.192	-0.419	0.333	0.971	0.748	1.26	0.834	0.997	lm.nb	Glutamine Metabolism	NM_020755.2:95
PRIM1-mRNA	-1.02	4.68	-10.2	8.16	0.493	8.52e-4	285	0.841	0.997	Wald	Cell Cycle, Nucleotide Synthesis	NM_000946.2:480
DGLUCY-mRNA	-0.0234	0.111	-0.242	0.195	0.984	0.846	1.14	0.843	0.997	loglinear	Glutamine Metabolism	NM_001102369.2:442
USP8-mRNA	0.00857	0.0412	-0.0721	0.0892	1.01	0.951	1.06	0.845	0.997	loglinear	Endocytosis	NM_001128610.1:1160
COX5B-mRNA	-0.0448	0.222	-0.481	0.391	0.969	0.717	1.31	0.85	0.997	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001862.2:240
NDC1-mRNA	-0.987	4.79	-10.4	8.41	0.505	7.5e-4	340	0.85	0.997	Wald	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_001168551.1:1845
PDCD1LG2-mRNA	1.23	6.05	-10.6	13.1	2.35	6.34e-4	8710	0.851	0.997	Wald	TCR & Costimulatory Signaling	NM_025239.3:235
NDUFB4-mRNA	0.0309	0.155	-0.274	0.336	1.02	0.827	1.26	0.852	0.997	lm.nb	Mitochondrial Respiration, Reactive Oxygen Response	NM_004547.4:254
AMDHD1-mRNA	-0.921	4.74	-10.2	8.37	0.528	8.45e-4	330	0.858	0.997	Wald	Amino Acid Synthesis	NM_152435.2:1936
HSF2-mRNA	0.0382	0.204	-0.362	0.439	1.03	0.778	1.36	0.861	0.997	loglinear	Transcriptional Regulation	NM_001135564.1:615
COX7B-mRNA	-0.0588	0.316	-0.678	0.561	0.96	0.625	1.48	0.861	0.997	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001866.2:159
PDGFB-mRNA	0.324	1.71	-3.03	3.68	1.25	0.122	12.8	0.862	0.997	Wald	Cytokine & Chemokine Signaling, MAPK, PI3K	NM_033016.2:1480
NDUFA4-mRNA	-0.0607	0.342	-0.73	0.609	0.959	0.603	1.53	0.868	0.997	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_002489.2:35
KAT6A-mRNA	0.0136	0.0794	-0.142	0.169	1.01	0.906	1.12	0.872	0.997	loglinear	Epigenetic Regulation	NM_001099412.1:550
RAD51-mRNA	-0.664	3.95	-8.42	7.09	0.631	0.00293	136	0.877	0.997	Wald	Cell Cycle, DNA Damage Repair	NM_133487.2:566
AK3-mRNA	-0.0278	0.169	-0.36	0.304	0.981	0.779	1.23	0.878	0.997	loglinear	Nucleotide Synthesis	NM_016282.2:450
SLC2A5-mRNA	0.0686	0.429	-0.773	0.91	1.05	0.585	1.88	0.881	0.997	lm.nb	Glucose Transport	NM_003039.2:711
BRCA2-mRNA	-0.668	4.19	-8.89	7.55	0.629	0.00211	188	0.884	0.997	Wald	Cell Cycle, DNA Damage Repair	NM_000059.3:115
ASNS-mRNA	-1.08	7.26	-15.3	13.2	0.475	2.46e-5	9160	0.892	0.997	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_183356.2:1644
NAT8L-mRNA	-1.8	12.2	-25.7	22.1	0.287	1.87e-8	4400000	0.892	0.997	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_178557.3:3021
UBE2C-mRNA	-0.274	1.92	-4.04	3.5	0.827	0.0606	11.3	0.896	0.997	Wald	Antigen Presentation, Cell Cycle	NM_007019.2:561
AKT3-mRNA	-0.0408	0.293	-0.615	0.534	0.972	0.653	1.45	0.896	0.997	lm.nb	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway	NM_005465.4:287
CYP1A1-mRNA	0.291	2.13	-3.88	4.47	1.22	0.0678	22.1	0.9	0.997	Wald	TryptophanKynurenine Metabolism	NM_000499.3:695
GNS-mRNA	0.0154	0.115	-0.211	0.241	1.01	0.864	1.18	0.901	0.997	loglinear	Lysosomal Degradation	NM_002076.3:1340
NCR1-mRNA	0.0568	0.442	-0.81	0.924	1.04	0.57	1.9	0.904	0.997	lm.nb	NA	NM_004829.5:602
NDUFB11-mRNA	-0.0219	0.178	-0.372	0.328	0.985	0.773	1.26	0.908	0.997	lm.nb	Mitochondrial Respiration	NM_001135998.1:255
EXO1-mRNA	-1.49	12.1	-25.2	22.2	0.357	2.6e-8	4890000	0.91	0.997	Wald	Cell Cycle, DNA Damage Repair	NM_003686.3:2715
SLC6A12-mRNA	-0.313	2.57	-5.36	4.73	0.805	0.0244	26.6	0.911	0.997	Wald	Amino Acid Transporters	NM_003044.3:969
BRCA1-mRNA	-0.565	4.77	-9.91	8.77	0.676	0.00104	438	0.913	0.997	Wald	Cell Cycle, DNA Damage Repair, PI3K	NM_007294.3:787
RAD51AP1-mRNA	-0.306	2.64	-5.47	4.86	0.809	0.0225	29.1	0.915	0.997	Wald	DNA Damage Repair	NM_001130862.1:1125
DGUOK-mRNA	-0.0305	0.295	-0.609	0.548	0.979	0.656	1.46	0.923	0.997	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_080916.2:902
ALDOA-mRNA	0.0147	0.149	-0.277	0.306	1.01	0.825	1.24	0.926	0.997	lm.nb	Glycolysis, Pentose Phosphate Pathway	NM_184041.2:1455
PTGS1-mRNA	-0.0536	0.551	-1.13	1.03	0.964	0.456	2.04	0.927	0.997	lm.nb	Reactive Oxygen Response	NM_000962.2:700
HEXA-mRNA	-0.018	0.186	-0.383	0.347	0.988	0.767	1.27	0.927	0.997	lm.nb	Lysosomal Degradation	NM_000520.4:702
FANCA-mRNA	-1.12	11.4	-23.6	21.3	0.459	8.14e-8	2590000	0.928	0.997	Wald	DNA Damage Repair	NM_000135.2:798
SREBF1-mRNA	-0.0254	0.264	-0.543	0.492	0.983	0.686	1.41	0.928	0.997	lm.nb	AMPK, Transcriptional Regulation	NM_001005291.1:1392
FANCD2-mRNA	-0.394	4.09	-8.42	7.63	0.761	0.00293	198	0.929	0.997	Wald	DNA Damage Repair	NM_033084.3:260
WRN-mRNA	-0.616	6.5	-13.4	12.1	0.653	9.54e-5	4460	0.93	0.997	Wald	Cell Cycle, DNA Damage Repair, Reactive Oxygen Response	NM_000553.4:2944
PUDP-mRNA	-0.418	4.6	-9.43	8.59	0.748	0.00145	387	0.933	0.997	Wald	Nucleotide Salvage	NM_001178135.1:425
BUB1B-mRNA	-1.08	12	-24.7	22.5	0.472	3.79e-8	5880000	0.934	0.997	Wald	Cell Cycle	NM_001211.4:835
HPRT1-mRNA	-0.0106	0.126	-0.258	0.237	0.993	0.836	1.18	0.937	0.997	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000194.1:240
APOM-mRNA	-0.331	3.91	-8	7.34	0.795	0.00389	162	0.938	0.997	Wald	Vitamin & Cofactor Metabolism	NM_019101.2:496
UMPS-mRNA	-1.02	12.1	-24.7	22.6	0.493	3.77e-8	6440000	0.938	0.997	Wald	Nucleotide Synthesis	NM_000373.2:2445
NOD2-mRNA	0.607	7.35	-13.8	15	1.52	7.05e-5	32900	0.939	0.997	Wald	Cytokine & Chemokine Signaling, TLR Signaling	NM_001293557.1:652
FOLR3-mRNA	0.138	1.68	-3.16	3.43	1.1	0.112	10.8	0.94	0.997	Wald	Endocytosis	NM_000804.2:469
LTC4S-mRNA	-0.669	8.16	-16.7	15.3	0.629	9.7e-6	40800	0.94	0.997	Wald	Glutamine Metabolism	NM_145867.1:31
TK1-mRNA	-0.195	2.4	-4.91	4.52	0.873	0.0333	22.9	0.94	0.997	Wald	Cell Cycle, Nucleotide Salvage, Nucleotide Synthesis	NM_003258.1:1215
EHHADH-mRNA	-0.97	12	-24.5	22.6	0.51	4.13e-8	6310000	0.941	0.997	Wald	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_001166415.1:2022
GCDH-mRNA	-0.334	4.23	-8.63	7.96	0.793	0.00253	249	0.942	0.997	Wald	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_000159.2:464
MLYCD-mRNA	-0.0124	0.161	-0.327	0.302	0.991	0.797	1.23	0.942	0.997	loglinear	AMPK	NM_012213.2:1530
CDCA5-mRNA	-0.184	2.38	-4.85	4.48	0.88	0.0347	22.3	0.943	0.997	Wald	Cell Cycle	NM_080668.3:308
IL21R-mRNA	-0.925	12.1	-24.6	22.8	0.527	3.87e-8	7160000	0.944	0.997	Wald	Cytokine & Chemokine Signaling	NM_021798.2:2080
CLOCK-mRNA	-0.907	12	-24.4	22.6	0.533	4.48e-8	6350000	0.944	0.997	Wald	Epigenetic Regulation, Transcriptional Regulation	NM_004898.2:2350
SERINC2-mRNA	-0.709	9.45	-19.2	17.8	0.612	1.62e-6	231000	0.945	0.997	Wald	Glutamine Metabolism	NM_018565.3:795
POLE-mRNA	-0.716	9.61	-19.6	18.1	0.609	1.29e-6	287000	0.945	0.997	Wald	Cell Cycle, DNA Damage Repair, Nucleotide Synthesis	NM_006231.3:3264
NDUFA12-mRNA	0.0117	0.162	-0.305	0.328	1.01	0.809	1.26	0.946	0.997	lm.nb	Mitochondrial Respiration, Reactive Oxygen Response	NM_018838.3:315
PPARG-mRNA	0.013	0.185	-0.349	0.375	1.01	0.785	1.3	0.947	0.997	lm.nb	AMPK, Transcriptional Regulation	NM_005037.5:345
PFKL-mRNA	0.0144	0.204	-0.385	0.414	1.01	0.766	1.33	0.947	0.997	lm.nb	AMPK, Glycolysis, Pentose Phosphate Pathway	NM_001002021.1:2410
MAP3K12-mRNA	-0.406	5.71	-11.6	10.8	0.755	3.23e-4	1760	0.948	0.997	Wald	MAPK	NM_006301.2:800
AFMID-mRNA	-0.823	12	-24.4	22.8	0.565	4.49e-8	7110000	0.95	0.997	Wald	TryptophanKynurenine Metabolism	NM_001010982.4:850
TIMELESS-mRNA	-0.795	12	-24.3	22.7	0.576	4.83e-8	6870000	0.951	0.997	Wald	DNA Damage Repair	NM_003920.2:1185
ACMSD-mRNA	0.772	11.7	-22.2	23.8	1.71	2.06e-7	14200000	0.952	0.997	Wald	TryptophanKynurenine Metabolism	NM_138326.2:468
CTSW-mRNA	0.39	6.08	-11.5	12.3	1.31	3.4e-4	5050	0.953	0.997	Wald	Lysosomal Degradation	NM_001335.3:1075
UCK1-mRNA	0.00905	0.146	-0.278	0.296	1.01	0.825	1.23	0.954	0.997	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_031432.3:232
CYBB-mRNA	-0.0389	0.665	-1.34	1.26	0.973	0.394	2.4	0.956	0.997	lm.nb	Antigen Presentation	NM_000397.3:2686
PSPH-mRNA	-0.707	12	-24.2	22.8	0.613	5.09e-8	7380000	0.957	0.997	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_004577.3:225
NEDD8-mRNA	0.0134	0.234	-0.446	0.473	1.01	0.734	1.39	0.957	0.997	lm.nb	Endocytosis	NM_006156.2:330
CPS1-mRNA	-0.636	12.1	-24.3	23	0.643	4.78e-8	8660000	0.961	0.997	Wald	Amino Acid Synthesis, Arginine Metabolism	NM_001875.3:5560
PRR5-mRNA	0.262	5.16	-9.85	10.4	1.2	0.00108	1330	0.963	0.997	Wald	mTOR	NM_015366.3:1635
CACNB4-mRNA	-0.202	4.19	-8.42	8.02	0.869	0.00292	259	0.965	0.997	Wald	MAPK	NM_000726.3:504
NDUFA1-mRNA	0.0098	0.228	-0.437	0.457	1.01	0.739	1.37	0.968	0.997	lm.nb	Mitochondrial Respiration	NM_004541.3:240
NDUFA2-mRNA	-0.0159	0.389	-0.778	0.746	0.989	0.583	1.68	0.969	0.997	lm.nb	Mitochondrial Respiration	NM_001185012.1:116
ITGAM-mRNA	0.0143	0.353	-0.677	0.706	1.01	0.625	1.63	0.97	0.997	lm.nb	Cytokine & Chemokine Signaling, TLR Signaling	NM_000632.3:515
